,Edges,y,CN,SaI,JI,SoI,HPI,HDI,LHN1,PAI,AAI,RAI,KzI,LHN2,ACT,CBL,RWR,MFI
352,"(1, 74)",1,1,0.0466760028009,0.0232558139535,0.0454545454545,0.0588235294118,0.037037037037,0.00217864923747,459,0.31066746728,0.04,0.00138192138238,0.0,9.29973516432,-0.00382988319644,-0.00110298270366,0.00307235143769
388,"(1, 116)",1,5,0.290129426593,0.151515151515,0.263157894737,0.454545454545,0.185185185185,0.016835016835,297,1.5784888051,0.230688360451,0.00372128893622,0.0,7.37818584662,0.0289066597337,-0.0014721628648,0.00442776449891
557,"(2, 8)",1,5,0.145064713296,0.0632911392405,0.119047619048,0.277777777778,0.0757575757576,0.00420875420875,1188,1.66343961127,0.256040669856,0.00527945158674,0.0,12.9410663047,-0.00203937787673,-0.000813563688444,0.00324396092029
567,"(2, 21)",1,2,0.0580258853186,0.0243902439024,0.047619047619,0.111111111111,0.030303030303,0.0016835016835,1188,0.686735769213,0.124444444444,0.00297621302877,0.0,12.5078946676,-0.0201551672042,-0.000813563688444,0.00284098091002
629,"(2, 89)",1,2,0.0820609939862,0.027397260274,0.0533333333333,0.222222222222,0.030303030303,0.003367003367,594,0.874572102592,0.205357142857,0.00229395013304,0.0,7.20072946361,-0.00787110289156,-0.00145279230079,0.00302312246568
654,"(2, 121)",1,8,0.263180677984,0.111111111111,0.2,0.571428571429,0.121212121212,0.00865800865801,924,2.38951596414,0.295468331905,0.00788162810625,0.0,10.9070114404,0.0090096920499,-0.00099620043483,0.00353545912721
682,"(2, 154)",1,4,0.174077655956,0.0571428571429,0.108108108108,0.5,0.0606060606061,0.00757575757576,528,1.14931269827,0.137908163265,0.00521122824119,0.0,6.71207750185,0.00937717359756,-0.00161259945388,0.00352229288831
683,"(2, 159)",1,3,0.130558241967,0.0422535211268,0.0810810810811,0.375,0.0454545454545,0.00568181818182,528,0.892363527089,0.1175,0.00437668872904,0.0,6.73292240528,0.00794431402987,-0.00161259945388,0.00346716473192
698,"(2, 201)",1,7,0.215410109214,0.0933333333333,0.170731707317,0.4375,0.106060606061,0.00662878787879,1056,2.02156383456,0.239426001219,0.00878640706292,0.0,12.2183287344,0.0146789381571,-0.000893467264988,0.00363239736863
700,"(2, 203)",1,8,0.238832573611,0.106666666667,0.192771084337,0.470588235294,0.121212121212,0.00713012477718,1122,2.29225140675,0.258192695518,0.00892800340751,0.0,12.8075451683,0.0153430838145,-0.000851165371524,0.00363934127494
800,"(3, 27)",1,2,0.0692958928675,0.03125,0.0606060606061,0.117647058824,0.0408163265306,0.00240096038415,833,0.648466181139,0.0916666666667,0.00201192393738,0.0,11.0387649904,-0.006520970527,-0.000911648969353,0.00303726206501
946,"(3, 213)",1,3,0.101015254455,0.046875,0.089552238806,0.166666666667,0.0612244897959,0.00340136054422,882,0.923331547719,0.119444444444,0.00388038467298,0.0,12.0977863435,0.00190297371127,-0.000874047286273,0.00331390851412
949,"(3, 216)",1,4,0.190476190476,0.0740740740741,0.137931034483,0.444444444444,0.0816326530612,0.00907029478458,441,1.31438936741,0.206373075546,0.00342228618361,0.0,7.13111870229,0.00510004313175,-0.00151327589862,0.00342930352854
1037,"(4, 18)",1,1,0.0400320384513,0.0166666666667,0.0327868852459,0.0769230769231,0.0208333333333,0.00160256410256,624,0.323515453149,0.0454545454545,0.00147447477406,0.0,9.28482248082,-0.00380956569577,-0.00112479650058,0.0031019727747
1085,"(4, 71)",1,4,0.140028008403,0.0655737704918,0.123076923077,0.235294117647,0.0833333333333,0.00490196078431,816,1.54194302121,0.306901431901,0.00304760189653,0.0,11.0173653016,-0.00148865283214,-0.000916541025059,0.00322364110982
1149,"(4, 149)",1,1,0.0400320384513,0.0166666666667,0.0327868852459,0.0769230769231,0.0208333333333,0.00160256410256,624,0.303413075542,0.037037037037,0.00191096094761,0.0,9.24276321879,-0.00654206011714,-0.00112479650058,0.00302758813311
1151,"(4, 151)",1,6,0.25,0.111111111111,0.2,0.5,0.125,0.0104166666667,576,1.82247373657,0.249513041838,0.00638201729053,0.0,9.10766077077,0.0174011059099,-0.00119855364815,0.00381866629364
1157,"(4, 160)",1,7,0.291666666667,0.132075471698,0.233333333333,0.583333333333,0.145833333333,0.0121527777778,576,2.19174310964,0.316179708505,0.0067927844886,0.0,9.15982976778,0.0217570082012,-0.00119855364815,0.00397447054393
1163,"(4, 168)",1,5,0.186338998125,0.0862068965517,0.15873015873,0.333333333333,0.104166666667,0.00694444444444,720,1.39029631837,0.146670789528,0.00586196615303,0.0,10.7105248098,0.00752458827541,-0.00100678506445,0.00349186054305
1276,"(5, 10)",1,2,0.184900065408,0.1,0.181818181818,0.222222222222,0.153846153846,0.017094017094,117,0.617529556944,0.0787878787879,0.00138953729258,0.0,4.82037192058,0.0143459819441,-0.00216354299564,0.00402415032455
1575,"(6, 35)",1,5,0.2326210526,0.119047619048,0.212765957447,0.357142857143,0.151515151515,0.0108225108225,462,1.72897098311,0.28025210084,0.00375495182014,0.0,9.07039216701,0.0326128082607,-0.00117053551092,0.00433757581941
1586,"(6, 50)",1,5,0.224733287488,0.116279069767,0.208333333333,0.333333333333,0.151515151515,0.010101010101,495,1.74961715684,0.288095238095,0.00379215589504,0.0,9.50696918901,0.033888145513,-0.00111574448701,0.00433479096587
1629,"(6, 105)",1,8,0.402015126104,0.216216216216,0.355555555556,0.666666666667,0.242424242424,0.020202020202,396,3.13151587232,0.628699955016,0.00487613802442,0.0,8.11493845082,0.0412643454828,-0.00130751307071,0.00491236088017
1860,"(7, 59)",1,4,0.19245008973,0.102564102564,0.186046511628,0.25,0.148148148148,0.00925925925926,432,1.47708066114,0.275801493193,0.00309404753307,0.0,9.31960218592,0.0248080845893,-0.00114528459713,0.00408696171079
1927,"(7, 134)",1,2,0.188982236505,0.0952380952381,0.173913043478,0.285714285714,0.125,0.0178571428571,112,0.872152004738,0.20202020202,0.00127700715576,0.0,4.39869110929,0.0232705098843,-0.00236286290636,0.00472004287733
2095,"(8, 14)",1,4,0.201007563052,0.111111111111,0.2,0.222222222222,0.181818181818,0.010101010101,396,1.23894638394,0.168164573522,0.00341345837469,0.0,9.23193062116,0.0134058633567,-0.00116223384063,0.00374831045306
2418,"(9, 67)",1,3,0.183941801845,0.1,0.181818181818,0.214285714286,0.157894736842,0.0112781954887,266,0.8964912004,0.107954545455,0.00248436578253,0.0,7.56623298431,0.0115840711199,-0.00142745035991,0.00375306761774
2455,"(9, 105)",1,2,0.154303349962,0.0833333333333,0.153846153846,0.166666666667,0.142857142857,0.0119047619048,168,0.67343147259,0.102631578947,0.00142345960242,0.0,5.90787550161,0.011869335691,-0.00178070827726,0.00388226953854
2460,"(9, 111)",1,2,0.119522860933,0.0625,0.117647058824,0.142857142857,0.1,0.00714285714286,280,0.648466181139,0.0916666666667,0.00213223149834,0.0,7.72364989375,0.00487454050214,-0.00139717110985,0.00350047279705
